start	end	type
2	3	ENTRY
2	4	EXIT
7	8	PARENT_OF
6	7	PARENT_OF
9	10	PARENT_OF
13	14	PARENT_OF
12	13	PARENT_OF
15	16	PARENT_OF
12	15	PARENT_OF
11	12	PARENT_OF
18	19	PARENT_OF
17	18	PARENT_OF
11	17	PARENT_OF
9	11	PARENT_OF
6	9	PARENT_OF
5	6	PARENT_OF
23	24	PARENT_OF
22	23	PARENT_OF
21	22	PARENT_OF
21	25	PARENT_OF
20	21	PARENT_OF
5	20	PARENT_OF
27	28	PARENT_OF
26	27	PARENT_OF
26	29	PARENT_OF
26	30	PARENT_OF
5	26	PARENT_OF
2	5	PARENT_OF
1	2	FILE_OF
32	33	ENTRY
32	34	EXIT
37	38	PARENT_OF
36	37	PARENT_OF
40	41	PARENT_OF
39	40	PARENT_OF
36	39	PARENT_OF
35	36	PARENT_OF
43	44	PARENT_OF
42	43	PARENT_OF
42	45	PARENT_OF
46	47	ENTRY
46	48	EXIT
46	49	PARENT_OF
42	46	PARENT_OF
35	42	PARENT_OF
32	35	PARENT_OF
31	32	FILE_OF
51	52	ENTRY
51	53	EXIT
56	57	PARENT_OF
55	56	PARENT_OF
55	58	PARENT_OF
59	60	ENTRY
59	61	EXIT
64	65	PARENT_OF
64	66	PARENT_OF
63	64	PARENT_OF
62	63	PARENT_OF
67	68	ENTRY
67	69	EXIT
67	70	PARENT_OF
67	71	PARENT_OF
74	75	PARENT_OF
73	74	PARENT_OF
73	76	PARENT_OF
73	77	PARENT_OF
72	73	PARENT_OF
67	72	PARENT_OF
67	78	PARENT_OF
62	67	PARENT_OF
59	62	PARENT_OF
55	59	PARENT_OF
54	55	PARENT_OF
51	54	PARENT_OF
50	51	FILE_OF
79	31	DIRECTORY_OF
79	50	DIRECTORY_OF
80	79	DIRECTORY_OF
82	83	ENTRY
82	84	EXIT
87	88	PARENT_OF
86	87	PARENT_OF
89	90	PARENT_OF
92	93	PARENT_OF
91	92	PARENT_OF
89	91	PARENT_OF
86	89	PARENT_OF
85	86	PARENT_OF
95	96	PARENT_OF
94	95	PARENT_OF
97	98	PARENT_OF
101	102	PARENT_OF
100	101	PARENT_OF
99	100	PARENT_OF
99	103	PARENT_OF
97	99	PARENT_OF
94	97	PARENT_OF
85	94	PARENT_OF
105	106	PARENT_OF
104	105	PARENT_OF
107	108	PARENT_OF
111	112	PARENT_OF
110	111	PARENT_OF
109	110	PARENT_OF
109	113	PARENT_OF
107	109	PARENT_OF
104	107	PARENT_OF
85	104	PARENT_OF
115	116	PARENT_OF
114	115	PARENT_OF
117	118	PARENT_OF
121	122	PARENT_OF
120	121	PARENT_OF
119	120	PARENT_OF
119	123	PARENT_OF
117	119	PARENT_OF
114	117	PARENT_OF
85	114	PARENT_OF
125	126	PARENT_OF
124	125	PARENT_OF
127	128	PARENT_OF
